Row Labels,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Congo (the Democratic Republic of the),8,7,3,11,4,6,3,3,10,15,20,29,36,31,28,35,32,26,37,34,22,24,22,15,16,13,15,87,,592
Cook Islands,,1,,,,1,1,,1,1,2,1,2,1,2,3,1,2,2,3,3,4,2,2,2,1,2,2,,42
Costa Rica,20,21,29,29,33,36,40,47,48,52,53,73,81,78,45,94,85,85,94,104,110,110,98,104,113,105,132,144,124,2187
Côte d'Ivoire,179,221,232,240,230,212,246,287,280,178,151,146,180,227,277,299,279,290,290,320,400,450,480,410,415,394,584,583,773,9253
Croatia,34,73,47,6,53,26,64,79,92,135,134,126,157,142,106,148,147,145,128,224,290,310,269,241,249,245,276,245,246,4437
Cuba,8,11,17,19,23,30,30,30,36,39,44,37,43,54,54,68,51,53,58,58,57,74,62,60,48,23,21,43,,1151
Cyprus,3,4,5,6,9,8,10,11,8,30,28,35,42,41,44,58,62,75,72,80,84,87,89,83,80,50,62,75,64,1305
Czech Republic,335,518,711,496,534,664,943,1034,1068,1226,1280,1381,1334,1442,1443,1900,1850,1572,1528,1552,1610,1403,1467,1322,1379,1741,1729,1703,1375,36540
Denmark,1298,1473,1683,1699,1677,1794,2029,2008,2051,2006,1852,1876,2013,2000,2078,1886,1875,1886,2015,1867,1821,1798,1711,1781,1813,1836,1982,1828,1765,53401
Djibouti,4,3,3,2,2,1,1,2,2,2,2,2,2,2,3,2,4,5,8,1,3,2,3,2,2,2,2,2,,71
Dominica,4,2,4,4,1,5,4,5,4,4,4,3,4,4,2,2,1,1,2,1,1,1,1,1,1,1,1,1,,69
Dominican Republic,29,36,41,52,72,97,72,45,80,61,50,67,89,79,74,86,97,97,120,116,134,131,170,163,159,126,198,163,,2704
Ecuador,81,81,35,32,16,18,33,35,43,53,48,54,69,113,50,60,45,60,50,70,60,60,80,95,104,86,133,146,,1810
El Salvador,10,10,9,11,11,14,14,12,11,15,15,17,22,18,20,21,21,20,20,20,20,20,20,20,28,24,32,38,32,545
Equatorial Guinea,28,11,11,11,11,11,11,124,129,137,106,120,107,133,117,123,117,127,55,72,67,67,75,63,78,80,57,,,2048
Estonia,49,43,65,73,68,73,68,81,88,107,128,134,158,173,172,200,221,226,238,233,229,252,244,226,225,201,222,235,230,4662
Eswatini,,,51,34,54,31,86,48,3,1,19,25,18,2,2,3,4,4,,,,,,,,,,,,385
Ethiopia,1,1,1,2,1,1,,3,2,2,4,5,6,4,5,7,7,2,22,13,19,6,5,2,2,3,2,2,3,133
Faroe Islands,2,2,2,2,2,2,2,2,3,3,3,2,3,4,5,4,4,4,4,4,5,4,5,5,5,5,5,5,,98
Fiji,5,8,8,9,10,3,6,8,9,11,12,14,13,33,13,10,9,11,10,12,15,13,14,15,13,7,11,12,,314
Finland,267,264,268,308,327,352,382,417,476,477,493,523,568,570,573,579,594,603,638,770,761,763,743,784,747,801,713,705,707,16173
France,6127,5306,5826,5824,5748,5502,5136,4588,4799,5514,5495,5321,5755,5732,5829,6465,6543,5433,5982,6945,7620,7638,7315,7002,6646,6089,6151,6238,5952,174521
French Guiana,27,27,27,27,27,,,,,,,,,,,,2,1,1,1,1,1,1,2,2,2,2,2,,153
French Polynesia,33,38,28,37,35,40,45,53,49,48,55,42,44,45,41,39,37,36,29,27,27,26,26,26,25,21,21,24,,997
Gabon,87,107,124,115,114,91,109,85,38,71,63,72,96,148,77,99,92,73,75,68,76,72,55,57,54,46,60,54,,2278
Gambia,2,3,4,2,,,,,,3,5,4,,1,1,1,,1,,,,,,,,,,,,27
Georgia,5,8,44,5,2,8,1,2,6,2,2,47,4,1,1,1,1,3,3,2,2,2,2,5,5,3,4,7,6,184
Germany,8771,10719,9855,11631,11854,9922,11268,11710,11906,13043,13262,13772,14553,13708,14110,14778,16133,15374,15274,15482,15420,14851,15230,14656,14802,14486,14781,13614,13574,388539
Ghana,46,46,28,41,29,31,57,74,63,74,69,75,118,147,93,87,106,120,90,70,50,60,90,80,80,55,74,89,,2042
Global,51771,50304,54153,60573,59215,57373,61095,64930,68951,73820,77525,80679,86168,85563,84760,92428,98346,99654,100075,103618,105162,104859,111010,105184,107465,105158,108714,,,2258553
Greece,40,40,40,47,70,63,72,107,311,244,145,159,184,184,165,107,203,174,179,149,125,165,122,116,231,113,173,162,163,4053
Greenland,2,3,3,5,6,3,4,5,4,8,8,19,8,7,9,8,8,8,11,7,6,6,6,5,6,6,6,14,,191
Grenada,14,14,19,20,21,23,21,20,19,19,23,28,36,34,34,34,33,37,29,46,45,48,53,65,63,55,80,87,,1020
Guadeloupe,86,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,172
Guam,,,,,,,,,1,1,1,1,1,,,,,,,2,2,1,,,,,,,,10
Guinea,4,4,3,4,4,4,9,14,13,7,7,7,8,9,1,14,9,6,7,6,5,5,7,7,9,9,9,8,,199
Guinea-Bissau,20,26,34,12,24,36,31,43,37,35,41,30,44,42,41,53,71,70,65,76,80,92,110,93,100,90,114,101,,1611
Guyana,,,,,,,,,1,,1,2,,,1,1,2,1,1,1,1,2,2,2,3,2,3,2,,28
Haiti,3,3,3,4,4,4,7,9,4,3,5,5,8,5,7,7,8,9,69,12,8,15,18,18,18,18,18,18,,310
Honduras,4,5,6,5,8,10,6,14,12,7,14,16,20,21,16,11,11,22,10,17,20,19,20,23,22,18,29,22,,408
Hungary,33,52,37,25,21,24,34,54,63,43,63,147,83,237,134,181,537,408,433,372,262,207,195,72,108,77,92,86,76,4156
Iceland,20,21,20,23,26,23,25,26,29,32,34,36,39,39,57,38,40,40,40,41,44,44,45,46,47,54,57,56,55,1097
India,3,3,2,4,3,4,5,2,5,10,17,18,32,30,19,20,44,42,39,33,39,41,45,52,42,30,56,78,,718
Indonesia,2,6,2,5,6,6,10,8,6,1,1,1,,2,,6,3,,4,2,1,20,40,60,40,11,25,38,53,359
Iran,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,3
Iraq,,,,,,,,,1,2,,2,1,2,2,4,6,6,5,3,8,8,7,5,10,10,10,8,,100
Ireland,178,266,292,316,413,435,482,521,557,629,585,725,752,586,617,711,712,774,771,734,767,848,835,782,853,1111,786,804,893,18735
Israel,3,7,11,16,25,35,41,41,33,38,32,33,48,54,49,56,67,63,58,59,63,69,75,93,93,100,100,92,,1454
Italy,178,289,644,863,456,565,680,822,1447,1625,1833,1463,1779,1840,1461,1668,2477,2756,2692,2753,2854,1706,2076,1895,1552,1634,3108,2012,2025,47153
Jamaica,9,12,11,10,15,16,15,12,18,16,34,21,24,25,30,28,24,26,32,33,33,58,71,33,34,17,50,41,,748
Japan,1077,1074,1452,3225,1898,1657,1703,1694,1632,1665,1585,1662,1667,1718,1807,1939,2083,2571,2632,2704,2801,2686,2775,2621,2810,2562,2438,2655,2323,61116
Jordan,1,,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,3,3,4,3,3,3,91,90,38,,269
Kazakhstan,67,80,142,160,34,44,37,36,34,71,54,59,127,66,87,98,112,141,130,147,115,93,113,116,100,109,122,119,139,2752
Kenya,20,20,19,22,21,19,27,31,27,38,34,39,40,40,39,55,63,71,72,73,67,71,66,92,81,73,83,90,96,1489
Kiribati,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Korea (the Republic of),57,59,102,26,58,81,89,115,140,159,190,222,318,288,230,246,260,292,327,330,436,378,365,406,441,545,769,714,565,8208
Kyrgyzstan,19,45,33,15,5,1,4,5,12,7,11,6,14,12,11,10,11,17,15,9,12,14,21,20,20,15,21,19,,404
Lao People's Democratic Republic,1,2,2,2,3,6,7,8,7,8,8,8,9,10,12,12,16,16,22,26,26,30,12,10,16,8,8,11,,306
Latvia,165,121,129,103,101,183,151,173,196,144,152,192,204,190,191,387,377,431,482,637,528,608,795,752,954,1053,1116,1290,1113,12918
Lebanon,5,4,12,6,8,6,8,10,9,10,9,8,8,9,10,11,11,12,11,11,14,13,13,13,13,5,7,10,,266
Lesotho,4,4,4,4,4,4,4,,,,,,1,1,1,1,1,1,9,14,9,13,18,5,15,15,17,14,,163
Liberia,2,,3,1,1,1,1,1,,1,1,,1,1,1,2,2,1,3,4,5,5,15,11,8,8,8,10,,97
Libya,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,3
Lithuania,105,156,172,163,186,60,148,191,205,146,135,150,204,350,450,685,856,971,1117,1131,857,858,978,909,914,943,978,991,995,16004
Luxemburg,,,,,,,192,209,197,197,232,239,235,236,229,219,211,219,221,224,223,218,227,232,231,227,241,227,229,5115
Madagascar,1,2,2,3,2,3,4,3,4,5,6,8,8,10,6,8,14,14,8,10,8,,10,12,11,6,5,9,,182
Malawi,2,3,4,3,4,,2,7,8,3,2,3,2,2,4,3,2,4,2,2,2,1,2,2,2,2,11,4,,88
Malaysia,13,10,29,17,28,24,28,30,54,111,62,57,68,81,172,85,60,57,62,83,104,121,130,98,92,70,181,303,,2230
Maldives,3,3,3,3,4,3,5,6,8,8,6,10,11,12,11,12,15,12,14,13,14,15,16,21,22,42,23,25,,340
Mali,4,1,1,1,2,1,3,19,3,2,2,3,2,3,3,6,6,3,4,4,8,3,5,4,10,38,24,16,,181
Malta,5,5,5,5,7,8,8,9,9,32,46,64,43,45,46,48,57,51,48,50,59,66,80,58,93,5,95,91,94,1232
Martinique,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
Mauritania,,,,,,,,,,1,,,,1,,,,1,,,,,1,1,,,,1,,6
Mauritius,11,10,12,12,20,16,12,13,15,16,19,17,18,20,16,20,20,18,20,20,23,25,22,25,20,13,12,39,,504
Mexico,48,73,119,114,137,164,226,344,227,224,271,336,384,400,386,440,454,440,537,543,599,681,719,797,596,498,657,872,872,12158
Micronesia,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,,11
Moldova,102,186,179,256,2,20,52,230,164,196,207,155,34,7,5,43,27,4,6,4,10,11,7,3,2,2,6,4,,1924
Mongolia,,,4,4,4,6,4,4,6,13,13,12,14,17,11,17,23,23,15,18,14,13,18,21,18,15,33,21,,361
Montenegro,,,,,,,,,,,10,10,10,10,8,9,20,23,23,22,25,23,31,29,28,23,30,28,,362
Montserrat,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,4
Morocco,145,226,94,8,59,11,12,40,74,43,65,15,18,23,136,79,87,88,112,25,14,19,52,177,186,208,158,224,,2398
Mozambique,61,66,62,69,56,71,60,117,51,72,17,14,12,22,20,25,90,55,102,124,233,298,298,298,298,298,298,298,,3485
Myanmar,,2,2,1,1,3,1,2,3,3,4,5,9,11,20,16,26,32,39,1,3,7,8,26,20,24,36,23,,328
Namibia,,,137,92,37,85,50,29,108,1,75,199,48,65,88,70,63,278,420,596,588,416,421,140,403,387,387,348,,5531
Nepal,,,,,2,2,2,2,5,3,4,5,5,4,6,6,8,8,8,8,7,8,7,9,8,3,7,7,,134
Netherlands,2347,2165,2780,2926,3388,3200,3121,3590,3059,3227,3799,3417,3823,3631,3669,3692,3321,3559,3669,3799,3838,4478,4444,4225,4232,4694,4910,4416,4440,105859
Netherlands Antilles,9,8,8,7,7,15,14,12,15,15,17,16,22,20,30,32,32,33,33,,,,,,,,,,,345
New Caledonia,41,42,47,42,39,41,50,60,56,67,63,65,63,70,61,68,68,68,68,73,82,55,57,42,44,45,34,44,,1555
New Zealand,209,225,224,276,409,408,402,403,444,450,359,360,424,409,315,327,277,342,409,407,345,372,399,409,425,416,410,472,441,10768
Nicaragua,2,2,14,7,6,5,5,8,7,6,7,8,9,8,8,9,9,12,11,12,14,15,10,12,11,13,14,12,,256
Niger,4,4,4,6,5,4,11,8,4,5,6,6,7,6,6,8,9,9,8,6,5,10,7,4,10,10,10,8,,190
Nigeria,11,9,8,8,11,4,40,3,42,31,34,59,63,258,130,213,275,346,371,382,295,171,213,248,279,190,520,290,,4504
Norfolk Island,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,,22
Norway,320,366,420,433,480,468,623,610,685,728,761,656,723,737,761,773,798,828,817,855,841,871,844,862,867,1111,1091,935,917,21181
Oman,,,,1,1,1,,1,1,,1,1,2,2,2,4,4,4,10,11,7,3,7,13,12,11,11,11,,121
Pakistan,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,11
Panama,20,11,12,11,15,17,14,16,19,35,23,27,33,37,34,34,38,43,42,44,49,40,50,60,50,43,49,58,,924
Papua New Guinea,3,5,6,10,9,9,12,3,3,2,5,5,3,5,5,4,5,9,5,10,37,23,20,33,27,19,25,25,,327
Paraguay,293,92,92,43,107,198,114,67,238,233,281,354,402,550,402,363,295,256,186,143,147,230,230,230,230,234,260,200,121,6591
Peru,62,54,58,50,48,52,56,65,61,63,60,71,74,83,73,90,84,100,87,90,95,85,96,106,97,86,131,133,106,2316
Philippines,17,23,24,29,35,55,63,54,63,61,96,101,84,100,97,166,115,108,106,146,172,204,220,200,230,122,150,272,,3113
Poland,316,484,483,508,628,590,507,539,579,613,684,719,879,915,833,902,969,960,1023,1067,1092,1188,1293,1321,1389,1417,1571,1539,1501,26509
Portugal,881,622,454,1610,2408,1985,1703,1365,1379,1582,1420,1235,1253,1399,1606,1816,1636,1296,1600,2330,2161,1804,2156,1977,2877,2745,2971,2872,2968,52111
Qatar,,,,,,,,3,1,5,94,105,120,133,133,153,154,156,157,128,98,112,64,20,18,22,18,28,,1722
Republic of North Macedonia,,31,16,4,9,4,3,1,1,3,2,3,18,17,11,2,1,3,4,1,2,2,3,3,2,1,2,2,,151
Republic of Türkiye,,2,2,2,2,2,2,2,1,9,14,16,12,15,11,17,18,22,19,27,22,20,34,42,41,33,54,79,145,665
Reunion island,118,118,118,118,118,118,118,118,118,118,,,,,,,,,,,,,,,,,,,,1180
Romania,139,56,7,76,80,3,3,3,2,3,46,716,381,388,130,224,908,545,367,342,507,502,484,395,366,451,597,555,500,8776
Russia,4601,2041,2434,2911,1128,1623,2568,2985,4164,5051,6227,6112,6434,5733,4520,5466,5112,4899,4922,4676,3999,4040,4470,4054,3309,3287,3699,3873,3951,118289
Rwanda,1,2,1,1,2,,1,1,1,1,1,2,1,3,3,3,5,6,7,9,10,14,21,17,20,22,19,20,,194
Saint Helena,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,3
Saint Kitts and Nevis,2,1,1,2,1,2,1,1,2,1,2,3,3,3,3,2,1,2,2,1,2,3,3,2,3,1,1,2,,53
Saint Lucia,5,6,8,9,11,11,8,10,14,7,12,14,16,18,12,11,10,11,12,22,10,21,11,22,22,14,6,15,,348
