Row Labels,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Germany,2302,2465,2229,2226,2315,2414,2372,2375,2773,2709,2970,3197,3543,3580,3557,3929,4145,3973,3903,3675,3928,3609,3836,3731,3839,3662,3689,3545,3262,93753
Ghana,,,,,,1,2,,,1,,,,2,4,2,8,8,4,8,8,10,30,30,,,,,,118
Global,55016,54506,60551,65018,63979,60302,65151,67899,72501,76620,79644,84350,90813,89969,88517,96315,103726,104255,102395,104341,105959,105533,110316,105719,106628,106354,112163,107515,,2446055
Greece,544,485,462,593,493,430,553,291,364,351,289,320,320,340,304,370,376,289,243,282,278,274,262,304,289,266,267,290,284,10213
Greenland,,,,,,,,,2,4,5,,3,2,2,2,2,2,2,,,,,,,,,,,26
Grenada,3,2,1,2,2,2,2,,1,1,2,2,4,5,2,3,3,3,1,5,5,5,5,5,5,5,7,7,7,97
Guyana,,,,,,,,,,,,1,1,,2,,1,1,1,1,2,1,,,,,,,,11
Honduras,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
Hungary,1269,1062,1006,1076,872,802,696,767,689,458,523,534,483,669,722,828,622,528,544,632,699,760,984,1284,1106,1291,1096,1379,1266,24647
Iceland,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,3
India,1,2,1,3,1,2,4,4,3,3,5,11,13,16,21,7,11,10,18,14,10,13,10,10,10,7,5,5,5,225
Indonesia,,,,,,,2,2,1,,,,4,,,,,8,6,2,4,5,,1,1,1,,,2,39
Iran,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
Ireland,6,6,6,31,4,3,4,6,6,2,6,2,8,6,9,48,19,5,5,6,10,39,35,53,79,47,27,37,74,589
Israel,23,35,25,27,27,20,20,15,29,32,27,31,47,36,41,45,37,24,47,53,56,56,61,55,64,64,68,68,,1133
Italy,15832,13415,12550,15191,18320,14675,15856,15794,13283,14123,15721,18390,18507,18067,19519,21482,23500,21227,20254,20424,20016,20636,21447,19601,21358,20685,22042,21577,21366,534858
Jamaica,2,3,3,1,3,2,2,3,7,2,4,4,5,5,9,5,10,8,8,8,5,6,6,3,2,2,3,3,,124
Japan,3,3,6,4,4,5,8,6,7,4,4,5,3,4,4,2,3,2,4,2,3,2,2,2,1,2,3,3,3,104
Jordan,4,,,,,,1,1,1,,,,,,,,,,,,,,1,1,,,1,1,,11
Kazakhstan,33,23,18,,2,1,2,1,4,1,2,1,,,1,,,,,1,7,5,1,1,,,,,,104
Kenya,2,3,2,1,1,,1,3,1,3,2,4,7,8,7,11,13,15,14,12,13,10,6,5,8,4,3,4,3,166
Korea (the Republic of),,,1,4,1,,1,,,,,1,1,1,1,1,,,,1,1,2,1,1,2,2,2,,1,25
Kyrgyzstan,14,12,2,1,6,,,1,1,,,,,1,1,1,1,,1,,1,2,10,2,3,3,1,1,,65
Latvia,76,83,155,112,46,35,33,28,30,93,157,192,204,190,191,387,377,431,451,517,405,476,687,737,905,887,974,1120,940,10919
Lebanon,5,5,13,9,10,9,11,13,14,15,17,18,19,19,17,21,21,20,20,21,22,21,23,25,26,21,28,28,,491
Lithuania,3,1,1,1,2,2,5,4,3,5,11,150,235,282,276,460,594,695,804,799,556,546,662,602,597,666,698,732,768,10160
Luxemburg,,,,,,,71,80,67,70,84,88,101,99,78,80,95,91,72,70,68,67,62,55,33,34,30,32,32,1559
Madagascar,,,,,,,,,,,,,,,,,,1,2,2,2,1,,,,,,,,8
Malaysia,,1,1,2,5,2,2,3,7,14,21,18,31,20,19,28,27,23,23,23,42,45,30,19,20,18,10,14,20,488
Mali,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
Malta,,,,1,1,1,1,1,1,,2,1,2,1,1,1,1,1,1,,,1,,10,16,,29,35,,108
Mauritius,1,,,,,,,1,1,1,1,2,1,1,,,2,1,1,1,3,1,1,1,,1,1,2,,24
Mexico,20,14,22,26,23,16,18,14,10,13,13,9,7,10,24,11,12,11,11,12,13,12,12,10,10,12,15,11,,391
Moldova,1654,1601,1979,1404,657,992,1368,1537,2022,2280,2425,1460,660,899,957,1260,1198,1220,1234,1171,1220,1328,1405,1399,1567,1330,1207,1041,1041,39516
Montenegro,,,,,,,,,,,44,58,58,59,45,55,67,63,71,61,73,68,63,60,62,57,61,50,50,1125
Morocco,77,59,57,68,50,70,69,88,89,84,55,79,43,43,52,57,54,36,36,9,66,10,10,13,10,6,3,6,6,1305
Mozambique,,,,,,,,,,,1,,,,,,,4,4,60,154,138,60,1,274,222,1,1,,920
Namibia,,,11,11,2,5,2,4,3,1,30,5,2,2,12,7,4,60,19,69,28,33,15,19,17,10,6,16,16,409
Netherlands,89,124,227,245,255,135,137,362,350,105,155,219,218,177,167,149,244,282,258,313,376,668,795,727,649,960,1165,1004,1051,11606
New Zealand,79,111,131,155,166,180,192,230,271,311,514,578,760,886,1126,1420,1547,1789,1784,1878,2055,2126,2553,2551,2700,2865,2849,2661,1961,36429
Nigeria,,,,,,,,1,4,,,,,1,,,2,,4,8,,,,,,,,,,20
Norway,2,1,3,3,8,5,8,8,13,17,15,14,14,12,12,12,13,13,10,12,19,30,24,23,26,29,19,26,21,412
Oman,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Panama,,,,,,,,,,1,,21,22,20,25,48,57,47,44,61,38,40,53,54,45,29,43,43,,691
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Peru,,2,1,1,,,1,1,1,1,1,1,2,1,2,1,4,1,5,11,2,2,2,3,3,2,4,6,4,65
Philippines,,,1,,,,,,,,,,,,,,,,,2,1,7,5,3,2,1,2,2,,26
Poland,274,128,45,21,10,1,4,2,4,3,6,4,10,8,19,29,35,32,34,29,19,36,50,76,119,127,195,134,178,1632
Portugal,1728,1976,2500,2299,1969,1941,1673,2141,3162,3229,2627,2930,3442,2911,2344,2666,3079,3363,3041,2836,2796,2778,2993,2951,2963,3151,3288,3254,3195,79226
Republic of North Macedonia,696,714,653,570,832,829,808,765,548,566,653,822,923,923,684,684,966,1150,885,797,588,763,743,748,656,660,685,661,661,21633
Republic of Türkiye,30,37,108,48,43,59,48,85,60,30,27,27,25,18,36,27,25,26,30,31,30,29,42,27,29,24,26,39,61,1127
Romania,305,454,806,647,293,254,394,503,411,376,270,179,143,141,107,98,105,114,105,105,139,129,162,199,236,210,190,180,146,7401
Russia,118,88,9,8,8,15,9,10,12,12,8,141,24,13,8,9,6,6,6,7,29,46,36,33,42,50,57,16,9,835
Rwanda,,,,,,,,,,,,,,18,,,,,1,,,,1,3,5,3,3,3,,37
Saint Lucia,,,,,1,,,,,,,,,8,,,,,8,8,9,10,10,,,,,,,54
Senegal,,,2,1,1,1,,,1,1,2,2,1,1,1,1,1,10,1,1,2,1,,,,1,,1,1,34
Serbia,,,,,,,,,,,77,84,98,92,112,113,152,227,124,122,108,100,116,118,132,106,102,113,113,2209
Serbia And Montenegro,,64,53,108,49,42,54,64,118,131,,,,,,,,,,,,,,,,,,,,683
Singapore,17,20,20,21,25,29,30,38,49,58,77,88,116,130,106,118,138,153,162,181,179,174,175,177,137,122,169,178,169,3056
Slovakia,106,92,101,90,68,107,107,111,130,56,99,114,129,129,128,107,159,146,156,225,264,221,368,446,316,336,729,400,654,6094
Slovenia,116,81,41,86,140,56,133,112,60,50,43,53,43,51,62,51,52,46,77,65,42,40,53,61,44,87,54,50,37,1886
South Africa,712,996,1106,1184,1291,1410,1773,2174,2385,2677,3508,2729,5016,4354,4303,4210,4049,4460,6041,4795,4837,4971,5158,5298,4111,3620,4795,4380,3492,99835
Spain,6260,6729,8679,10718,9308,8651,9946,9594,12359,14042,14439,14340,15079,16914,14607,17156,22031,21411,18450,23088,24395,22626,23311,20308,21844,20659,23696,21437,20815,472892
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,4,3,14
State of Palestine,1,,1,1,1,1,,,,,1,,,,,,,,,3,2,2,2,2,2,2,1,1,,23
Sweden,3,2,10,20,12,9,15,23,59,75,58,46,28,34,45,40,47,62,69,78,75,75,77,85,78,74,76,80,75,1430
Switzerland,11,11,15,13,14,13,14,12,14,19,26,27,20,20,19,20,20,16,17,14,12,11,14,12,13,13,13,13,11,447
Tajikistan,25,25,25,20,5,5,1,,,,,,,,,,,,,,,,,,,,,,,106
"Tanzania, the United Republic of",,,,,,1,1,,1,,,,,,,,,,2,5,,1,,,1,1,4,4,,21
Thailand,2,9,7,4,14,11,11,11,10,13,24,21,27,32,37,40,55,69,83,82,93,117,82,102,116,115,130,169,135,1621
Togo,,,,,,,,2,2,2,1,,,1,1,,1,1,1,1,1,15,147,163,180,217,262,262,,1260
Trinidad and Tobago,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,4
Tunisia,103,89,63,54,70,73,132,94,169,385,125,81,90,100,54,45,37,27,14,19,13,6,3,10,4,1,1,1,,1863
Turkmenistan,144,100,80,50,,2,1,,,2,,,,,,,,,,,,,,,,,,,,379
Uganda,,,,,,,,,,,,,,1,1,2,3,5,3,4,3,2,1,3,1,2,,,,31
Ukraine,1016,738,565,299,157,100,183,161,193,211,196,184,174,248,667,636,378,482,639,451,612,317,468,469,68,144,104,57,107,10024
United Arab Emirates,,,,,,,,,,1,2,4,7,15,15,15,6,125,127,141,44,46,53,73,102,207,226,226,,1435
United Kingdom,101,232,363,344,175,217,188,279,244,263,229,312,472,433,545,898,866,800,951,1037,942,786,962,1144,954,883,358,326,254,15558
United States of America,1329,1615,2040,2520,2624,2769,2844,2662,3293,3874,3459,3761,4231,4638,3974,4009,4165,4004,4147,4047,4189,3790,3454,3487,3573,3604,3266,2780,2064,96212
Uruguay,2,10,11,11,30,33,26,20,18,13,16,36,99,134,20,26,24,197,152,43,23,34,58,185,58,69,53,53,39,1493
Uzbekistan,12,67,45,36,4,20,80,97,94,32,120,161,197,156,47,152,68,89,77,59,53,106,164,106,102,59,54,54,,2311
Venezuela,4,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,7
Zambia,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,3
Zimbabwe,1,1,2,,,1,,1,,1,1,1,,,1,1,1,1,1,,,,1,,,,,,,15
Grand Total,110030,109008,121099,130030,127953,120600,130300,135795,144996,153232,159282,168696,181623,179936,177029,192626,207453,208507,204787,208679,211921,211063,220628,211435,213707,213488,224110,213539,98483,4990035
