Row Labels,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Cook Islands,,1,,,,1,1,,1,1,2,1,2,1,2,3,1,2,2,2,3,3,3,2,2,2,2,2,,42
Costa Rica,20,21,29,29,33,36,40,47,48,52,53,77,81,78,45,94,85,85,89,99,107,113,108,100,105,107,107,107,,1995
Côte d'Ivoire,194,213,232,239,229,210,244,286,280,147,151,146,180,227,277,299,289,284,290,305,360,424,464,444,412,404,487,581,,8298
Croatia,1566,1710,2149,2126,2051,1810,1897,2037,1748,1647,1306,1344,1412,1441,1447,1530,1537,1449,1363,1188,1131,1134,988,1040,1142,1079,1003,961,,41236
Cuba,8,11,17,19,171,185,170,140,153,202,139,131,145,160,159,160,163,171,175,178,177,181,186,178,164,160,159,159,,4021
Cyprus,83,84,85,86,84,90,115,126,165,165,165,164,160,147,159,157,140,146,166,155,160,158,167,185,179,155,131,153,,3930
Czech Republic,637,640,655,654,650,673,897,1087,1174,820,1100,1300,1770,1974,2006,2000,2260,1686,2067,2125,2236,2231,2094,1992,2174,2062,2230,2236,2154,45584
Denmark,1262,1429,1590,1591,1566,1594,1697,1740,1708,1659,1536,1561,1670,1636,1654,1629,1592,1580,1552,1544,1506,1495,1459,1471,1524,1534,1569,1527,1436,45311
Djibouti,4,3,3,2,1,1,1,2,2,2,2,2,2,2,3,3,3,4,7,5,2,3,3,2,2,2,2,2,,72
Dominica,4,2,4,4,1,5,4,4,4,3,3,2,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,,65
Dominican Republic,29,36,41,52,45,97,97,45,51,61,63,67,89,78,73,86,96,96,78,32,69,132,141,118,83,81,81,81,,2098
Ecuador,81,81,35,32,15,18,33,35,43,52,47,53,69,62,50,59,45,61,50,71,55,57,70,85,95,100,100,100,,1654
Egypt,25,26,27,27,28,30,42,42,42,42,42,68,105,143,118,80,44,44,45,47,57,59,59,58,55,55,55,55,,1520
El Salvador,10,10,9,13,11,13,14,12,11,15,15,17,22,19,20,21,21,20,20,20,20,20,20,20,24,26,26,26,,495
Estonia,55,78,92,104,91,104,97,80,83,102,110,106,116,146,142,156,202,253,290,307,310,312,302,283,278,277,277,277,,5030
Eswatini,,,49,33,52,30,75,3,3,1,11,24,18,1,2,3,4,12,26,22,19,17,23,34,20,20,4,4,,510
Ethiopia,11,11,11,17,19,24,25,29,28,19,36,31,36,18,21,19,18,18,18,29,24,20,13,10,8,8,8,8,,537
Faroe Islands,2,2,2,2,2,2,2,2,2,3,3,2,3,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,,98
Fiji,5,8,8,9,10,3,6,8,9,11,11,14,12,33,13,9,9,10,10,11,13,14,14,14,14,13,13,13,,317
Finland,281,267,259,312,335,352,382,416,453,473,494,524,559,572,597,578,591,588,593,586,576,565,560,569,565,232,232,232,,12743
France,36515,34795,35500,36330,35400,34500,33919,34820,34081,33218,33530,33003,32168,30800,30214,29272,28307,28022,27770,27545,26452,28290,28634,26028,24714,23202,24870,25028,24420,881347
French Guiana,24,24,24,24,24,24,24,24,24,24,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,,257
French Polynesia,36,24,25,21,22,35,37,43,44,43,49,38,43,45,43,40,38,36,33,28,27,27,26,26,26,26,26,26,,933
Gabon,105,104,124,115,114,91,109,85,38,71,63,70,88,71,71,99,99,82,72,68,70,73,63,56,55,54,54,54,,2218
Gambia,,,,,,,,,,,4,3,3,1,1,1,1,1,,,,,,,,,,,,15
Georgia,2028,1998,1682,1109,574,481,380,344,311,314,500,866,1116,1193,974,931,927,786,636,551,695,718,468,771,1091,1090,1207,1203,,24944
Germany,18728,18730,18794,18970,19751,20150,20044,20272,19734,19845,19848,20210,20782,20747,20224,20200,19707,20300,20400,20300,20500,20200,20145,19745,19450,19844,19900,19400,19082,576002
Ghana,46,46,27,41,29,30,55,74,63,72,68,75,118,146,89,85,91,105,99,74,52,46,55,55,65,68,68,68,,1910
Global,227425,221646,225138,228321,225747,225741,227645,230038,238947,238106,239356,242595,250096,247362,241975,240280,242191,244620,244433,239089,241418,244630,246189,241062,236672,231414,234033,231600,221219,6848988
Greece,2696,2636,2686,2927,3059,2861,2947,2466,3072,3300,3586,3200,3300,3200,3029,3248,2852,3068,2996,2639,2404,2365,2396,2228,2183,2199,2195,2139,1870,79747
Greenland,2,3,3,5,6,3,4,5,2,5,3,16,6,5,7,5,6,6,7,8,7,6,6,5,5,6,6,6,,154
Grenada,21,12,18,18,19,20,19,19,18,18,20,26,32,27,32,32,31,32,39,41,40,41,44,48,54,54,54,54,,883
