date,station,date,DP10,DP1X,DT32,DX70,DX90,PRCP,RHAV,TAVG,TMAX
2002-01-01,GHCND:AG000060680,,,,,,,,,,71.0
2003-01-01,GHCND:AGM00060507,,,,,,,,,,70.1
