date,station,date,DP10,DP1X,DT32,DX70,DX90,PRCP,RHAV,TAVG,TMAX
2022-01-01,GHCND:AGM00060461,,,,,,,,,,71.9
2023-01-01,GHCND:AGE00147716,,,,,,,,,,76.8
