date,station,date,DP10,DP1X,DT32,DX70,DX90,PRCP,RHAV,TAVG,TMAX
2020-01-01,GHCND:AJ000037575,,,,,,,,,,63.2
2022-01-01,GHCND:AJ000037575,,,,,,,,,,64.3
2023-01-01,GHCND:AJ000037575,,,,,,,,,,65.6
