date,station,date,DP10,DP1X,DT32,DX70,DX90,PRCP,RHAV,TAVG,TMAX
2010-01-01,GHCND:AGE00147708,,,,,,,,,,89.9
2011-01-01,GHCND:AGE00147708,,,,,,,,,,87.2
2012-01-01,GHCND:AGE00147708,,,,,,,,,,88.2
2013-01-01,GHCND:AGE00147708,,,,,,,,,,83.8
2014-01-01,GHCND:AGE00147708,,,,,,,,,,85.1
