date,station,date,DP10,DP1X,DT32,DX70,DX90,PRCP,RHAV,TAVG,TMAX
1995-01-01,GHCND:AM000037781,,,,,,,,,,52.8
1996-01-01,GHCND:AM000037789,,,,,,,,,,53.7
1997-01-01,GHCND:AM000037789,,,,,,,,,,52.9
1998-01-01,GHCND:AM000037789,,,,,,,,,,66.6
1999-01-01,GHCND:AM000037781,,,,,,,,,,54.6
