date,station,date,DP10,DP1X,DT32,DX70,DX90,PRCP,RHAV,TAVG,TMAX
2005-01-01,GHCND:AM000037781,,,,,,,,,,34.2
2006-01-01,GHCND:AM000037682,,,,,,,,,,35.8
2007-01-01,GHCND:AM000037682,,,,,,,,,,49.9
2008-01-01,GHCND:AM000037682,,,,,,,,,,51.3
2009-01-01,GHCND:AM000037682,,,,,,,,,,50.9
