date,station,date,DP10,DP1X,DT32,DX70,DX90,PRCP,RHAV,TAVG,TMAX
2012-01-01,GHCND:AJ000037575,,,,,,,,,,70.8
2013-01-01,GHCND:AJ000037756,,,,,,,,,,62.6
2014-01-01,GHCND:AJ000037575,,,,,,,,,,70.8
