Year,country,Gallons
2000,AS,213028300.8
2001,AS,283482973.2
2002,AS,321444489.6
2003,AS,286230362.0
2004,AS,387778078.8
2005,AS,377792377.2
2006,AS,376788523.6
2007,AS,254133464.0
2008,AS,328841305.6
2009,AS,311300284.8
2010,AS,301684424.0
2011,AS,295344296.0
2012,AS,323848454.8
2013,AS,325195732.0
2014,AS,313387243.6
2015,AS,314681686.40000004
2016,AS,346065320.0
2017,AS,361651468.0
2018,AS,336555128.0
2019,AS,316213884.0
2020,AS,287947480.0
2021,AS,391502904.0
2022,AS,345272804.0
2023,AS,254661808.0
1995,AU,58883938.800000004
1996,AU,55740292.0
1997,AU,47603794.4
1998,AU,71405691.60000001
1999,AU,74047411.60000001
2000,AU,61763413.6
2001,AU,66861933.2
2002,AU,68658302.8
2003,AU,66729847.2
2004,AU,72251042.0
2005,AU,59808540.800000004
2006,AU,59597203.2
2007,AU,69424401.60000001
2008,AU,79066679.60000001
2009,AU,62133254.4
2010,AU,45886676.4
2011,AU,74338000.8
2012,AU,56136550.0
2013,AU,63189942.4
2014,AU,52807982.800000004
2015,AU,59914209.6
2016,AU,51592791.6
2017,AU,65673159.2
2018,AU,72726551.60000001
2019,AU,65118398.0
2020,AU,63348445.6
2021,AU,64986312.0
2022,AU,66756264.4
2023,AU,62397426.4
1995,AJ,1875621.2
1996,AJ,766098.8
1997,AJ,9166768.4
1998,AJ,3883328.4
1999,AJ,1241608.4000000001
2000,AJ,2034124.4000000001
2001,AJ,2007707.2
2002,AJ,1505780.4000000001
2003,AJ,1003853.6
2004,AJ,818933.2000000001
2005,AJ,1162356.8
2006,AJ,1373694.4000000001
2007,AJ,1690700.8
2008,AJ,2166210.4
2009,AJ,1902038.4000000001
2010,AJ,3090812.4
2011,AJ,2007707.2
2012,AJ,2800223.2
2013,AJ,2219044.8000000003
2014,AJ,2641720.0
2015,AJ,2747388.8000000003
2016,AJ,2773806.0
2017,AJ,2985143.6
2018,AJ,4147500.4
2019,AJ,2324713.6
2020,AJ,2377548.0
2021,AJ,2668137.2
