station,date,DP10,DP01,DP1X,DT32,DT00,DX70,DX90,PRCP,RHAV,TAVG,TMAX,TMIN,EMXT,EMNT,HTDD,EMXP,MNPN,MXPN,HXyz,HNyz
GHCND:AG000060390,2007-01-01,,,6,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2007-01-01,,,,,,,,,,,,,,,,2.6,,,,
GHCND:AG000060390,2007-01-01,,,,,,,,30.0,,,,,,,,,,,,
GHCND:AG000060390,2008-01-01,,83,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2008-01-01,46,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2008-01-01,,,1,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2008-01-01,,,,,,,,,,,,,,,,1.06,,,,
GHCND:AG000060390,2008-01-01,,,,,,,,19.62,,,,,,,,,,,,
GHCND:AG000060390,2009-01-01,,90,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2009-01-01,55,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2009-01-01,,,1,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2009-01-01,,,,,,,,,,,,,,,,1.18,,,,
GHCND:AG000060390,2009-01-01,,,,,,,,23.89,,,,,,,,,,,,
GHCND:AG000060390,2010-01-01,,98,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2010-01-01,53,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2010-01-01,,,5,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2010-01-01,,,,,,,,,,,,,,,,2.09,,,,
GHCND:AG000060390,2010-01-01,,,,,,,,22.65,,,,,,,,,,,,
GHCND:AG000060390,2011-01-01,,84,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2011-01-01,54,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2011-01-01,,,4,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2011-01-01,,,,,,,,,,,,,,,,1.89,,,,
GHCND:AG000060390,2011-01-01,,,,,,,,26.9,,,,,,,,,,,,
GHCND:AG000060390,2012-01-01,,84,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2012-01-01,57,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2012-01-01,,,8,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2012-01-01,,,,,,,,,,,,,,,,2.76,,,,
GHCND:AG000060390,2012-01-01,,,,,,,,32.94,,,,,,,,,,,,
GHCND:AG000060390,2013-01-01,,105,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2013-01-01,68,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2013-01-01,,,6,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2013-01-01,,,,,,,,,,,,,,,,4.57,,,,
GHCND:AG000060390,2013-01-01,,,,,,,,34.83,,,,,,,,,,,,
GHCND:AG000060390,2014-01-01,,82,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2014-01-01,43,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2014-01-01,,,4,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2014-01-01,,,,,,,,,,,,,,,,1.42,,,,
GHCND:AG000060390,2014-01-01,,,,,,,,21.7,,,,,,,,,,,,
GHCND:AG000060390,2015-01-01,,71,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2015-01-01,37,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2015-01-01,,,3,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2015-01-01,,,,,,,,,,,,,,,,1.69,,,,
GHCND:AG000060390,2015-01-01,,,,,,,,17.27,,,,,,,,,,,,
GHCND:AG000060590,1995-01-01,,15,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1995-01-01,3,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1995-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1995-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060590,1995-01-01,,,,12,,,,,,,,,,,,,,,,
GHCND:AG000060590,1995-01-01,,,,,,278,,,,,,,,,,,,,,
GHCND:AG000060590,1995-01-01,,,,,,,136,,,,,,,,,,,,,
GHCND:AG000060590,1995-01-01,,,,,,,,,,,,,,25.0,,,,,,
GHCND:AG000060590,1995-01-01,,,,,,,,,,,,,,,,0.39,,,,
GHCND:AG000060590,1995-01-01,,,,,,,,,,,,,114.0,,,,,,,
GHCND:AG000060590,1995-01-01,,,,,,,,,,,,,,,1500.0,,,,,
GHCND:AG000060590,1995-01-01,,,,,,,,1.38,,,,,,,,,,,,
GHCND:AG000060590,1995-01-01,,,,,,,,,,71.8,,,,,,,,,,
GHCND:AG000060590,1995-01-01,,,,,,,,,,,84.3,,,,,,,,,
GHCND:AG000060590,1995-01-01,,,,,,,,,,,,59.4,,,,,,,,
GHCND:AG000060590,1996-01-01,,10,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1996-01-01,4,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1996-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1996-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060590,1996-01-01,,,,7,,,,,,,,,,,,,,,,
GHCND:AG000060590,1996-01-01,,,,,,286,,,,,,,,,,,,,,
GHCND:AG000060590,1996-01-01,,,,,,,149,,,,,,,,,,,,,
GHCND:AG000060590,1996-01-01,,,,,,,,,,,,,,28.0,,,,,,
GHCND:AG000060590,1996-01-01,,,,,,,,,,,,,,,,0.63,,,,
GHCND:AG000060590,1996-01-01,,,,,,,,,,,,,115.0,,,,,,,
GHCND:AG000060590,1996-01-01,,,,,,,,,,,,,,,1204.0,,,,,
GHCND:AG000060590,1996-01-01,,,,,,,,1.89,,,,,,,,,,,,
GHCND:AG000060590,1996-01-01,,,,,,,,,,71.9,,,,,,,,,,
GHCND:AG000060590,1996-01-01,,,,,,,,,,,84.8,,,,,,,,,
GHCND:AG000060590,1996-01-01,,,,,,,,,,,,59.0,,,,,,,,
GHCND:AG000060590,1997-01-01,,9,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1997-01-01,7,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1997-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1997-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060590,1997-01-01,,,,4,,,,,,,,,,,,,,,,
GHCND:AG000060590,1997-01-01,,,,,,284,,,,,,,,,,,,,,
