station,date,DP10,DP1X,DT32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,MNPN,MXPN,PRCP,TAVG,TMAX,code,latitude,longitude,elevation,location,geometry
AGE00147719,2021,10.0,0.0,,,,,0.71,,,,,4.03,,,AG,33.7997,2.89,767.0,LAGHOUAT                               60545,POINT (321713.32839256065 3978169.470454732)
AGE00147719,2022,15.0,0.0,,,,,0.83,,,,,4.81,,,AG,33.7997,2.89,767.0,LAGHOUAT                               60545,POINT (321713.32839256065 3978169.470454732)
AGM00060351,2004,80.0,9.0,,,,,2.24,,,,,43.0,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2005,75.0,13.0,,,,,1.69,,,,,42.43,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2006,59.0,7.0,,,,,2.17,,,,,31.74,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2007,83.0,13.0,,,,,1.93,,,,,45.56,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2008,59.0,6.0,0.0,,,35.0,2.6,,,,,30.76,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2010,75.0,9.0,,,,,2.91,,,,,42.21,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2011,72.0,12.0,,,,,2.87,,,,,42.32,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2013,83.0,15.0,,,,,2.2,,,,,52.91,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2015,55.0,12.0,,,,,1.93,,,,,38.02,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2016,55.0,10.0,,,,,2.64,,,,,36.22,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2017,63.0,11.0,,,,,1.85,,,,,37.93,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2018,73.0,14.0,,,,,3.11,,,,,45.38,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2019,58.0,15.0,,,,,2.99,,,,,42.38,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2020,59.0,11.0,,,,,5.75,,,,,39.73,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2022,44.0,4.0,,,,,2.32,,,,,23.91,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060351,2023,55.0,9.0,,,,,1.69,,,,,32.91,,,AG,36.795,5.874,11.0,JIJEL                                  60351,POINT (653890.6889196889 4384976.389586813)
AGM00060360,2005,56.0,6.0,,,,,2.44,,,,,29.76,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2006,52.0,3.0,,,,,1.57,,,,,22.48,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2007,55.0,4.0,,,,,2.56,,,,,26.99,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2008,46.0,2.0,,,,,1.06,,,,,16.46,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2010,56.0,4.0,,214.0,20.0,,1.61,103.0,,,,22.31,,74.5,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2011,60.0,3.0,,,,,2.24,,,,,25.98,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2012,54.0,2.0,,,,,1.57,,,,,20.98,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2013,66.0,3.0,,,,,2.56,,,,,28.1,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2015,59.0,4.0,,,,,2.17,,,,,29.72,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2016,37.0,2.0,,,,,1.34,,,,,18.24,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2017,47.0,7.0,,,,,3.19,,,,,25.91,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2018,59.0,4.0,,,,,1.77,,,,,24.8,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2019,59.0,7.0,,,,,3.11,,,,,34.2,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2020,52.0,4.0,,,,,1.5,,,,,25.83,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2021,45.0,3.0,,,,,1.46,,,,,20.84,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060360,2023,52.0,7.0,,,,,3.35,,,,,29.54,,,AG,36.822,7.809,4.9,ANNABA                                 60360,POINT (869293.9036046733 4388714.259174842)
AGM00060402,2004,56.0,9.0,,,,,2.48,,,,,30.84,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2005,59.0,5.0,,,,,2.32,,,,,30.64,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2010,55.0,8.0,,,,,3.07,,,,,30.45,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2011,50.0,10.0,,,,,2.01,,,,,31.06,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2012,63.0,13.0,,,,,3.9,,,,,43.04,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2013,75.0,3.0,,,,,1.42,,,,,36.13,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2015,49.0,2.0,,,,,1.97,,,,,20.04,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2016,48.0,6.0,,,,,2.4,,,,,26.6,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2017,53.0,12.0,,,,,2.99,,,,,32.37,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2018,62.0,6.0,,,,,2.4,,,,,30.98,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2019,50.0,5.0,,,,,2.76,,,,,29.09,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2020,43.0,4.0,,,,,3.19,,,,,25.11,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2021,53.0,3.0,,,,,2.13,,,,,23.85,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060402,2023,47.0,7.0,,,,,1.73,,,,,26.1,,,AG,36.712,5.07,6.1,SOUMMAM                                60402,POINT (564389.8183218971 4373494.21351507)
AGM00060403,2005,,,,224.0,73.0,,,115.0,,,,,,76.7,AG,36.467,7.467,228.0,GUELMA                                 60403,POINT (831222.6377533737 4339673.777265206)
AGM00060403,2006,46.0,3.0,,,,,1.22,,,,,18.16,,,AG,36.467,7.467,228.0,GUELMA                                 60403,POINT (831222.6377533737 4339673.777265206)
AGM00060403,2008,35.0,2.0,,215.0,86.0,,1.65,116.0,,,,13.63,,78.2,AG,36.467,7.467,228.0,GUELMA                                 60403,POINT (831222.6377533737 4339673.777265206)
AGM00060403,2011,59.0,6.0,4.0,226.0,83.0,29.0,2.99,112.0,,,,27.31,64.8,77.5,AG,36.467,7.467,228.0,GUELMA                                 60403,POINT (831222.6377533737 4339673.777265206)
AGM00060403,2012,,,,,,,,,1891.0,,,,,,AG,36.467,7.467,228.0,GUELMA                                 60403,POINT (831222.6377533737 4339673.777265206)
AGM00060403,2013,58.0,2.0,,,,,1.57,,,,,24.05,,,AG,36.467,7.467,228.0,GUELMA                                 60403,POINT (831222.6377533737 4339673.777265206)
AGM00060403,2015,54.0,2.0,,241.0,109.0,,1.22,111.0,,,,23.48,,78.4,AG,36.467,7.467,228.0,GUELMA                                 60403,POINT (831222.6377533737 4339673.777265206)
AGM00060403,2016,,,2.0,,,31.0,,,1523.0,,,,,,AG,36.467,7.467,228.0,GUELMA                                 60403,POINT (831222.6377533737 4339673.777265206)
AGM00060403,2018,,,5.0,,,28.0,,,,,,,,,AG,36.467,7.467,228.0,GUELMA                                 60403,POINT (831222.6377533737 4339673.777265206)
AGM00060403,2022,,,8.0,,,29.0,,,,,,,,,AG,36.467,7.467,228.0,GUELMA                                 60403,POINT (831222.6377533737 4339673.777265206)
AGM00060403,2023,34.0,4.0,3.0,231.0,96.0,32.0,1.77,114.0,,,,17.81,66.5,79.7,AG,36.467,7.467,228.0,GUELMA                                 60403,POINT (831222.6377533737 4339673.777265206)
AGM00060419,1997,49.0,3.0,,,,,1.38,,,,,19.74,,,AG,36.276,6.62,690.4,MOHAMED BOUDIAF INTL                   60419,POINT (736935.029051471 4313382.37461461)
AGM00060419,2004,64.0,3.0,,,,,3.5,,,,,27.29,,,AG,36.276,6.62,690.4,MOHAMED BOUDIAF INTL                   60419,POINT (736935.029051471 4313382.37461461)
AGM00060419,2005,37.0,1.0,,,,,1.22,,,,,12.91,,,AG,36.276,6.62,690.4,MOHAMED BOUDIAF INTL                   60419,POINT (736935.029051471 4313382.37461461)
AGM00060419,2006,42.0,1.0,,,,,1.26,,,,,17.48,,,AG,36.276,6.62,690.4,MOHAMED BOUDIAF INTL                   60419,POINT (736935.029051471 4313382.37461461)
AGM00060419,2007,53.0,1.0,,,,,1.89,,,,,18.84,,,AG,36.276,6.62,690.4,MOHAMED BOUDIAF INTL                   60419,POINT (736935.029051471 4313382.37461461)
AGM00060419,2008,35.0,1.0,,,,,1.14,,,,,13.08,,,AG,36.276,6.62,690.4,MOHAMED BOUDIAF INTL                   60419,POINT (736935.029051471 4313382.37461461)
AGM00060419,2010,43.0,2.0,,,,,1.61,,,,,18.75,,,AG,36.276,6.62,690.4,MOHAMED BOUDIAF INTL                   60419,POINT (736935.029051471 4313382.37461461)
AGM00060419,2011,46.0,5.0,,,,,1.5,,,,,20.81,,,AG,36.276,6.62,690.4,MOHAMED BOUDIAF INTL                   60419,POINT (736935.029051471 4313382.37461461)
AGM00060419,2012,42.0,1.0,,,,,1.1,,,,,16.55,,,AG,36.276,6.62,690.4,MOHAMED BOUDIAF INTL                   60419,POINT (736935.029051471 4313382.37461461)
AGM00060419,2013,47.0,1.0,,,,,1.54,,,,,18.45,,,AG,36.276,6.62,690.4,MOHAMED BOUDIAF INTL                   60419,POINT (736935.029051471 4313382.37461461)
AGM00060419,2015,51.0,4.0,,,,,3.86,,,,,24.15,,,AG,36.276,6.62,690.4,MOHAMED BOUDIAF INTL                   60419,POINT (736935.029051471 4313382.37461461)
AGM00060421,2005,27.0,0.0,46.0,198.0,59.0,20.0,0.71,108.0,,,,9.35,59.7,71.9,AG,35.867,7.117,891.0,OUM EL BOUAGHI                         60421,POINT (792260.815975728 4257300.175288692)
AGM00060421,2006,39.0,2.0,24.0,,,22.0,1.26,,,,,16.97,,,AG,35.867,7.117,891.0,OUM EL BOUAGHI                         60421,POINT (792260.815975728 4257300.175288692)
AGM00060421,2015,40.0,0.0,,,,,0.91,,,,,14.49,,,AG,35.867,7.117,891.0,OUM EL BOUAGHI                         60421,POINT (792260.815975728 4257300.175288692)
AGM00060421,2016,23.0,0.0,25.0,,,29.0,0.71,,2563.0,,,8.08,,,AG,35.867,7.117,891.0,OUM EL BOUAGHI                         60421,POINT (792260.815975728 4257300.175288692)
AGM00060421,2017,31.0,0.0,22.0,,,26.0,0.67,,,,,8.74,,,AG,35.867,7.117,891.0,OUM EL BOUAGHI                         60421,POINT (792260.815975728 4257300.175288692)
AGM00060421,2018,33.0,3.0,33.0,,,25.0,1.57,,,,,14.59,,,AG,35.867,7.117,891.0,OUM EL BOUAGHI                         60421,POINT (792260.815975728 4257300.175288692)
AGM00060421,2019,47.0,3.0,29.0,,,24.0,1.93,,,,,20.01,,,AG,35.867,7.117,891.0,OUM EL BOUAGHI                         60421,POINT (792260.815975728 4257300.175288692)
AGM00060421,2020,41.0,1.0,21.0,,,25.0,1.22,,,,,13.57,,,AG,35.867,7.117,891.0,OUM EL BOUAGHI                         60421,POINT (792260.815975728 4257300.175288692)
AGM00060421,2022,,,39.0,,,22.0,,,,,,,,,AG,35.867,7.117,891.0,OUM EL BOUAGHI                         60421,POINT (792260.815975728 4257300.175288692)
AGM00060421,2023,26.0,5.0,33.0,,,22.0,1.85,,,,,13.73,,,AG,35.867,7.117,891.0,OUM EL BOUAGHI                         60421,POINT (792260.815975728 4257300.175288692)
AGM00060423,2005,46.0,4.0,,189.0,38.0,,2.6,106.0,,,,21.97,,70.0,AG,36.283,7.967,680.0,SOUK AHRAS                             60423,POINT (886882.3831500106 4314344.78612882)
