Continent,Region/Country,Product,Variable,Year,Unit,Quantity,Quantity_gallons,Country_Code
Asia,Iran,Wine,Production,1995,1000 hl,0,0.0,IR
Asia,Iraq,Wine,Production,1995,1000 hl,0,0.0,IZ
Europe,Ireland,Wine,Production,1995,1000 hl,0,0.0,EI
Asia,Israel,Wine,Production,1995,1000 hl,122,3222898.4,IS
Europe,Italy,Wine,Production,1995,1000 hl,55702,1471490874.4,IT
America,Jamaica,Wine,Production,1995,1000 hl,0,0.0,JM
Asia,Japan,Wine,Production,1995,1000 hl,652,17224014.400000002,JA
Asia,Jordan,Wine,Production,1995,1000 hl,0,0.0,JO
Asia,Kazakhstan,Wine,Production,1995,1000 hl,122,3222898.4,KZ
Africa,Kenya,Wine,Production,1995,1000 hl,0,0.0,KE
Oceania,Kiribati,Wine,Production,1995,1000 hl,0,0.0,KR
Asia,Korea (the Democratic People's Republic of),Wine,Production,1995,1000 hl,0,0.0,KN
Asia,Korea (the Republic of),Wine,Production,1995,1000 hl,0,0.0,KS
Asia,Kuwait,Wine,Production,1995,1000 hl,0,0.0,KU
Asia,Kyrgyzstan,Wine,Production,1995,1000 hl,26,686847.2000000001,KG
Asia,Lao People's Democratic Republic,Wine,Production,1995,1000 hl,0,0.0,LA
Europe,Latvia,Wine,Production,1995,1000 hl,47,1241608.4000000001,LG
Asia,Lebanon,Wine,Production,1995,1000 hl,300,7925160.0,LE
Africa,Lesotho,Wine,Production,1995,1000 hl,0,0.0,LT
Africa,Liberia,Wine,Production,1995,1000 hl,0,0.0,LI
Africa,Libya,Wine,Production,1995,1000 hl,0,0.0,LY
Europe,Liechtenstein,Wine,Production,1995,1000 hl,0,0.0,
Europe,Lithuania,Wine,Production,1995,1000 hl,11,290589.2,LH
Europe,Luxemburg,Wine,Production,1995,1000 hl,150,3962580.0,LU
Africa,Madagascar,Wine,Production,1995,1000 hl,88,2324713.6,MA
Africa,Malawi,Wine,Production,1995,1000 hl,0,0.0,MI
Asia,Malaysia,Wine,Production,1995,1000 hl,0,0.0,MY
Asia,Maldives,Wine,Production,1995,1000 hl,0,0.0,MV
Africa,Mali,Wine,Production,1995,1000 hl,0,0.0,ML
Europe,Malta,Wine,Production,1995,1000 hl,32,845350.4,MT
Oceania,Marshall Islands,Wine,Production,1995,1000 hl,0,0.0,RM
America,Martinique,Wine,Production,1995,1000 hl,0,0.0,MB
Africa,Mauritania,Wine,Production,1995,1000 hl,0,0.0,MR
Africa,Mauritius,Wine,Production,1995,1000 hl,0,0.0,MP
America,Mexico,Wine,Production,1995,1000 hl,1466,38727615.2,MX
Oceania,Micronesia,Wine,Production,1995,1000 hl,0,0.0,FM
Europe,Moldova,Wine,Production,1995,1000 hl,2964,78300580.8,MD
Europe,Monaco,Wine,Production,1995,1000 hl,0,0.0,
Asia,Mongolia,Wine,Production,1995,1000 hl,0,0.0,MG
America,Montserrat,Wine,Production,1995,1000 hl,0,0.0,
Africa,Morocco,Wine,Production,1995,1000 hl,173,4570175.600000001,MO
Africa,Mozambique,Wine,Production,1995,1000 hl,0,0.0,MZ
Asia,Myanmar,Wine,Production,1995,1000 hl,0,0.0,
Africa,Namibia,Wine,Production,1995,1000 hl,0,0.0,WA
Oceania,Nauru,Wine,Production,1995,1000 hl,0,0.0,
Asia,Nepal,Wine,Production,1995,1000 hl,0,0.0,NP
America,Netherlands Antilles,Wine,Production,1995,1000 hl,0,0.0,NL
Oceania,New Caledonia,Wine,Production,1995,1000 hl,0,0.0,NC
Oceania,New Zealand,Wine,Production,1995,1000 hl,564,14899300.8,NZ
America,Nicaragua,Wine,Production,1995,1000 hl,0,0.0,NU
Africa,Niger,Wine,Production,1995,1000 hl,0,0.0,NG
Africa,Nigeria,Wine,Production,1995,1000 hl,0,0.0,NI
Oceania,Niue,Wine,Production,1995,1000 hl,0,0.0,NE
Oceania,Norfolk Island,Wine,Production,1995,1000 hl,0,0.0,NF
Europe,Norway,Wine,Production,1995,1000 hl,0,0.0,NO
Asia,Oman,Wine,Production,1995,1000 hl,0,0.0,MU
Asia,Pakistan,Wine,Production,1995,1000 hl,0,0.0,PK
Oceania,Palau,Wine,Production,1995,1000 hl,0,0.0,PS
America,Panama,Wine,Production,1995,1000 hl,2,52834.4,PM
Oceania,Papua New Guinea,Wine,Production,1995,1000 hl,0,0.0,PP
America,Paraguay,Wine,Production,1995,1000 hl,77,2034124.4000000001,PA
America,Peru,Wine,Production,1995,1000 hl,106,2800223.2,PE
Asia,Philippines,Wine,Production,1995,1000 hl,0,0.0,RP
Europe,Poland,Wine,Production,1995,1000 hl,0,0.0,PL
Europe,Portugal,Wine,Production,1995,1000 hl,7255,191656786.0,PO
Asia,Qatar,Wine,Production,1995,1000 hl,0,0.0,QA
Europe,Republic of North Macedonia,Wine,Production,1995,1000 hl,911,24066069.2,MK
Asia,Republic of Türkiye,Wine,Production,1995,1000 hl,318,8400669.6,
Africa,Reunion island,Wine,Production,1995,1000 hl,0,0.0,RE
Europe,Romania,Wine,Production,1995,1000 hl,6720,177523584.0,RO
Europe,Russia,Wine,Production,1995,1000 hl,2150,56796980.0,RS
Africa,Rwanda,Wine,Production,1995,1000 hl,0,0.0,RW
Africa,Saint Helena,Wine,Production,1995,1000 hl,0,0.0,SH
America,Saint Kitts and Nevis,Wine,Production,1995,1000 hl,0,0.0,
America,Saint Lucia,Wine,Production,1995,1000 hl,0,0.0,ST
America,Saint Pierre And Miquelon,Wine,Production,1995,1000 hl,0,0.0,SB
America,Saint Vincent and the Grenadines,Wine,Production,1995,1000 hl,0,0.0,
Oceania,Samoa,Wine,Production,1995,1000 hl,0,0.0,
Europe,San Marino,Wine,Production,1995,1000 hl,0,0.0,
Africa,Sao Tome and Principe,Wine,Production,1995,1000 hl,0,0.0,
Asia,Saudi Arabia,Wine,Production,1995,1000 hl,0,0.0,SA
Africa,Senegal,Wine,Production,1995,1000 hl,0,0.0,SG
Europe,Serbia And Montenegro,Wine,Production,1995,1000 hl,0,0.0,RI
Africa,Seychelles,Wine,Production,1995,1000 hl,0,0.0,SE
Africa,Sierra Leone,Wine,Production,1995,1000 hl,0,0.0,SL
Asia,Singapore,Wine,Production,1995,1000 hl,0,0.0,SN
Europe,Slovakia,Wine,Production,1995,1000 hl,662,17488186.400000002,LO
Europe,Slovenia,Wine,Production,1995,1000 hl,781,20631833.2,SI
Oceania,Solomon Islands,Wine,Production,1995,1000 hl,0,0.0,BP
Africa,Somalia,Wine,Production,1995,1000 hl,0,0.0,
Africa,South Africa,Wine,Production,1995,1000 hl,8339,220293030.8,SF
Africa,South Sudan,Wine,Production,1995,1000 hl,0,0.0,SU
Europe,Spain,Wine,Production,1995,1000 hl,20876,551485467.2,SP
Asia,Sri Lanka,Wine,Production,1995,1000 hl,0,0.0,CE
Asia,State of Palestine,Wine,Production,1995,1000 hl,0,0.0,
Africa,Sudan,Wine,Production,1995,1000 hl,0,0.0,
America,Suriname,Wine,Production,1995,1000 hl,0,0.0,NS
Europe,Sweden,Wine,Production,1995,1000 hl,0,0.0,SW
Europe,Switzerland,Wine,Production,1995,1000 hl,1181,31198713.200000003,SZ
Asia,Syrian Arab Republic,Wine,Production,1995,1000 hl,2,52834.4,SY
Asia,Tajikistan,Wine,Production,1995,1000 hl,95,2509634.0,TI
Africa,"Tanzania, the United Republic of",Wine,Production,1995,1000 hl,0,0.0,TZ
Asia,Thailand,Wine,Production,1995,1000 hl,0,0.0,TH
Asia,Timor-Leste,Wine,Production,1995,1000 hl,0,0.0,
Africa,Togo,Wine,Production,1995,1000 hl,0,0.0,TO
Oceania,Tonga,Wine,Production,1995,1000 hl,0,0.0,TN
America,Trinidad and Tobago,Wine,Production,1995,1000 hl,0,0.0,TD
Africa,Tunisia,Wine,Production,1995,1000 hl,292,7713822.4,TS
Asia,Turkmenistan,Wine,Production,1995,1000 hl,492,12997262.4,TX
Oceania,Tuvalu,Wine,Production,1995,1000 hl,0,0.0,TV
Africa,Uganda,Wine,Production,1995,1000 hl,0,0.0,UG
Europe,Ukraine,Wine,Production,1995,1000 hl,1860,49135992.0,UP
Asia,United Arab Emirates,Wine,Production,1995,1000 hl,0,0.0,AE
Europe,United Kingdom,Wine,Production,1995,1000 hl,18,475509.60000000003,UK
America,United States of America,Wine,Production,1995,1000 hl,18668,493156289.6,US
America,Uruguay,Wine,Production,1995,1000 hl,852,22507454.400000002,UY
Asia,Uzbekistan,Wine,Production,1995,1000 hl,830,21926276.0,UZ
Oceania,Vanuatu,Wine,Production,1995,1000 hl,0,0.0,NH
America,Venezuela,Wine,Production,1995,1000 hl,0,0.0,VE
Asia,Vietnam,Wine,Production,1995,1000 hl,0,0.0,VM
America,Virgin Islands,Wine,Production,1995,1000 hl,0,0.0,
Asia,Yemen,Wine,Production,1995,1000 hl,0,0.0,
Africa,Zambia,Wine,Production,1995,1000 hl,0,0.0,ZA
Africa,Zimbabwe,Wine,Production,1995,1000 hl,15,396258.0,ZI
